,Name,NetWorth,Country,Source,Rank,Age,Residence,Citizenship,Status,Children,Education,Self_made,geometry
153,Brian Chesky,13.7,United States,Airbnb,154,39.0,"San Francisco, California",United States,Single,,"Bachelor of Arts/Science, Rhode Island School of Design",True,POINT (-122.419906 37.7790262)
154,Joseph Lau,13.6,Hong Kong,real estate,155,69.0,"Hong Kong, Hong Kong",Hong Kong,Divorced,6.0,,True,POINT (114.1628131 22.2793278)
155,David Duffield,13.5,United States,business software,156,80.0,"Incline Village, Nevada",United States,Married,10.0,"Bachelor of Engineering, Cornell University; Master of Business Administration, Samuel Curtis Johnson Graduate School of Management",True,POINT (-119.9519094 39.2501246)
156,Charoen Sirivadhanabhakdi,13.5,Thailand,"alcohol, real estate",156,77.0,"Bangkok, Thailand",Thailand,Married,5.0,,True,POINT (100.4930399 13.7544238)
157,Kim Jung-ju,13.3,South Korea,online games,158,53.0,"Seoul, South Korea",South Korea,Married,2.0,"Doctorate, Korea Advanced Institute of Science and Technology; Master of Science, Korea Advanced Institute of Science and Technology; Bachelor of Arts/Science, Seoul National University",True,POINT (126.9782914 37.5666791)
158,Robert & Philip Ng,13.3,Singapore,real estate,158,,"Singapore, Singapore",Singapore,,,,False,POINT (103.8194992 1.357107)
159,Zhang Bangxin,13.3,China,education,158,41.0,"Beijing, China",China,,,"EMBA, China Europe International Business School",True,POINT (116.3912757 39.906217)
160,Anders Holch Povlsen,13.2,Denmark,fashion retail,161,48.0,"Aarhus, Denmark",Denmark,Married,4.0,,False,POINT (10.2134046 56.1496278)
161,Wang Wenyin,13.2,China,"mining, copper products",161,53.0,"Shenzhen, China",China,,,,True,POINT (114.0543297 22.555454)
162,Wang Liping & family,13.1,China,hydraulic machinery,163,55.0,"Changzhou, China",China,Married,,,True,POINT (119.9691539 31.8122623)
163,Tatyana Bakalchuk,13.0,Russia,ecommerce,164,45.0,"Moscow region, Russia",Russia,Married,4.0,"Bachelor of Science, State University of Management",True,POINT (40.3072897 43.6713223)
164,Michael Platt,13.0,United Kingdom,hedge funds,164,53.0,"Geneva, Switzerland",United Kingdom,,,"Bachelor of Arts/Science, London School of Economics; Bachelor of Arts/Science, London School of Economics",True,POINT (6.1466014 46.2017559)
165,Huang Shilin,12.9,China,batteries,166,54.0,"Ningde, China",China,,,"Bachelor of Technology, Hefei University of Technology",True,POINT (119.5432715 26.6695006)
166,Ricardo Salinas Pliego & family,12.9,Mexico,"retail, media",166,65.0,"Mexico City, Mexico",Mexico,Married,6.0,"Master of Business Administration, A. B. Freeman School of Business; Bachelor of Arts/Science, Tecnológico de Monterrey",False,POINT (-99.1331785 19.4326296)
167,Kumar Birla,12.8,India,commodities,168,53.0,"Mumbai, India",India,Married,3.0,"Master of Business Administration, London Business School; Bachelor of Arts/Science, University of Bombay",False,POINT (72.8773928 19.0759899)
168,Dang Yanbao,12.7,China,coal,169,48.0,"Yinchuan, China",China,,,"Master of Business Administration, Peking University",True,POINT (106.2261926 38.4852037)
169,Cyrus Poonawalla,12.7,India,vaccines,169,79.0,"Pune, India",India,Widowed,1.0,"Bachelor of Arts/Science, Pune University; Doctorate, Pune University",False,POINT (73.8544541 18.521428)
170,Robert Kuok,12.6,Malaysia,"palm oil, shipping, property",171,97.0,"Hong Kong, Hong Kong",Malaysia,Married,8.0,"Bachelor of Arts/Science, Raffles College",True,POINT (114.1628131 22.2793278)
171,Hank & Doug Meijer,12.6,United States,supermarkets,171,,"Grand Rapids, Michigan",United States,,,,False,POINT (-85.6678639 42.9632405)
172,Jack Dorsey,12.5,United States,"Twitter, Square",173,44.0,"San Francisco, California",United States,Single,,"Drop Out, New York University",True,POINT (-122.419906 37.7790262)
173,Lu Zhongfang,12.5,China,education,173,78.0,"Tonghua, China",China,,,,True,POINT (125.9170455 41.7225544)
174,Ma Jianrong & family,12.5,China,"textiles, apparel",173,57.0,"Ningbo, China",China,Married,,,True,POINT (121.6203873 29.8622194)
175,Zhang Tao,12.5,China,e-commerce,173,48.0,"Beijing, China",China,,,,True,POINT (116.3912757 39.906217)
176,Nathan Blecharczyk,12.4,United States,Airbnb,177,37.0,"San Francisco, California",United States,Married,2.0,"Bachelor of Arts/Science, Harvard University",True,POINT (-122.419906 37.7790262)
177,John Doerr,12.4,United States,venture capital,177,69.0,"Woodside, California",United States,Married,2.0,"Master of Business Administration, Harvard University; Bachelor of Arts/Science, Rice University; Master of Science, Rice University",True,POINT (-122.2538557 37.4299388)
178,Joe Gebbia,12.4,United States,Airbnb,177,39.0,"San Francisco, California",United States,In Relationship,,"Bachelor of Arts/Science, Rhode Island School of Design",True,POINT (-122.419906 37.7790262)
179,Forrest Li,12.4,Singapore,gaming,177,43.0,"Singapore, Singapore",Singapore,Married,,"Bachelor of Engineering, Shanghai Jiaotong University; Master of Business Administration, Stanford Graduate School of Business",True,POINT (103.8194992 1.357107)
180,Yu Renrong,12.3,China,semiconductors,181,55.0,"Ningbo, China",China,,,"Bachelor of Science in Engineering, Tsinghua University",True,POINT (121.6203873 29.8622194)
181,Liu Yonghao & family,12.1,China,agribusiness,182,69.0,"Chengdu, China",China,Married,2.0,,True,POINT (104.0633717 30.6598628)
182,Gordon Moore,12.1,United States,Intel,182,92.0,"Woodside, California",United States,Married,2.0,"Doctorate, California Institute of Technology; Bachelor of Arts/Science, University of California, Berkeley",True,POINT (-122.2538557 37.4299388)
183,Jeff Yass,12.0,United States,"trading, investments",184,62.0,"Haverford, Pennsylvania",United States,Married,4.0,"Bachelor of Arts/Economics, SUNY Binghamton",True,POINT (-75.2943516 40.0131672)
184,Bobby Murphy,11.9,United States,Snapchat,185,32.0,"Venice, California",United States,Single,,"Bachelor of Arts/Science, Stanford University",True,POINT (-118.4615272 33.9883349)
185,Patrick Drahi,11.8,France,telecom,186,57.0,"Zermatt, Switzerland",France,Married,4.0,,True,POINT (7.7494002 46.0222273)
186,Jensen Huang,11.8,United States,semiconductors,186,,,,,,,,POINT (-100.4458825 39.7837304)
187,Alexander Otto,11.8,Germany,real estate,186,53.0,"Hamburg, Germany",Germany,Married,,"Master of Business Administration, Harvard Business School; Bachelor of Arts/Science, Harvard College",False,POINT (10.000654 53.550341)
188,Cen Junda,11.6,China,pharmaceuticals,189,56.0,"Lianyungang, China",China,,,"Doctorate, Zhejiang University",True,POINT (119.215813 34.5978596)
189,Joseph Tsai,11.6,Canada,e-commerce,189,57.0,"Hong Kong, Hong Kong",Canada,Married,3.0,"Bachelor of Arts/Science, Yale University; Doctor of Jurisprudence, Yale University",True,POINT (114.1628131 22.2793278)
190,Aliko Dangote,11.5,Nigeria,"cement, sugar",191,64.0,"Lagos, Nigeria",Nigeria,Divorced,3.0,"Bachelor of Arts/Science, Al-Azhar University",True,POINT (3.3941795 6.4550575)
191,Marcel Herrmann Telles,11.5,Brazil,beer,191,71.0,"Sao Paulo, Brazil",Brazil,Married,2.0,"Bachelor of Arts/Science, Universidade Federal do Rio de Janeiro",True,POINT (-46.6333824 -23.5506507)
192,Mikhail Prokhorov,11.4,Russia,investments,193,56.0,"Moscow, Russia",Russia,Single,,"Bachelor of Arts/Science, Moscow Institute of Finance",True,POINT (37.6174943 55.7504461)
193,Jorge Moll Filho & family,11.3,Brazil,hospitals,194,76.0,"Rio de Janeiro, Brazil",Brazil,Married,5.0,"Masters of Public Health, Universidade Federal do Rio de Janeiro",True,POINT (-43.2093727 -22.9110137)
194,Viktor Rashnikov,11.2,Russia,steel,195,72.0,"Magnitogorsk, Russia",Russia,Married,2.0,"Bachelor of Science in Engineering, Magnitogorsk Mining and Metallurgical Institute",True,POINT (58.983136 53.4242184)
195,Harry Triguboff,11.2,Australia,real estate,195,88.0,"Sydney, Australia",Australia,Married,2.0,"Bachelor of Arts/Science, University of Leeds",True,POINT (151.0979607 -33.8641922)
196,Leonid Fedun & family,11.1,Russia,oil,197,65.0,"Moscow, Russia",Russia,Married,2.0,"Master of Science, Military Academy F.E.Dzerzhinsky",True,POINT (37.6174943 55.7504461)
197,Eyal Ofer,11.1,Israel,"real estate, shipping",197,70.0,"Monte Carlo, Monaco",Israel,Married,4.0,,False,POINT (7.426559 43.7402961)
198,Evan Spiegel,11.1,United States,Snapchat,197,30.0,"Los Angeles, California",United States,Married,2.0,"Bachelor of Science, Stanford University",True,POINT (-118.242766 34.0536909)
199,Luis Carlos Sarmiento,11.0,Colombia,banking,200,88.0,"Bogota, Colombia",Colombia,Married,5.0,"Bachelor of Arts/Science, National University of Colombia",True,POINT (-74.083652 4.6533326)
200,Andreas Struengmann & family,11.0,Germany,pharmaceuticals,200,71.0,"Tegernsee, Germany",Germany,Married,2.0,"Medical Doctor, University at Buffalo",True,POINT (11.7543337 47.7099191)
201,Thomas Struengmann & family,11.0,Germany,pharmaceuticals,200,71.0,"Tegernsee, Germany",Germany,Married,4.0,"Master of Business Administration, University of Augsburg; Master of Business Administration, University of Augsburg",True,POINT (11.7543337 47.7099191)
202,Rodolphe Saadé & family,10.9,France,shipping,203,51.0,"Marseille, France",France,,,"Bachelor of Arts/Science, Concordia University",False,POINT (5.3699525 43.2961743)
203,Dilip Shanghvi,10.9,India,pharmaceuticals,203,65.0,"Mumbai, India",India,Married,2.0,"Bachelor of Arts/Science, Calcutta University",True,POINT (72.8773928 19.0759899)
204,Tom & Judy Love,10.8,United States,retail & gas stations,205,,"Oklahoma City, Oklahoma",United States,Married,4.0,,True,POINT (-97.5170536 35.4729886)
205,Anthony Pratt,10.8,Australia,manufacturing,205,61.0,"Melbourne, Australia",Australia,,2.0,"Bachelor of Arts/Economics, Monash University",False,POINT (144.960964 -37.8077694)
206,Wang Laisheng,10.8,China,electronics components,205,56.0,"Shenzhen, China",China,,,,True,POINT (114.0543297 22.555454)
207,Gianluigi & Rafaela Aponte,10.7,Switzerland,Shipping,208,80.0,"Geneva, Switzerland",Switzerland,,2.0,,True,POINT (6.1466014 46.2017559)
208,Wang Laichun,10.7,China,electronics components,208,53.0,"Shenzhen, China",China,Married,,"EMBA, Tsinghua University",True,POINT (114.0543297 22.555454)
209,Chen Jianhua,10.6,China,chemicals,210,50.0,"Wujiang, China",China,Married,,"Bachelor of Arts/Science, Nanjing Normal University",True,POINT (120.6406744 31.1415158)
210,Leng Youbin,10.6,China,infant formula,210,52.0,"Beijing, China",China,,,"Bachelor of Arts/Science, Northeast Agriculture University; EMBA, Peking University",True,POINT (116.3912757 39.906217)
211,Charles Schwab,10.6,United States,discount brokerage,210,83.0,"Woodside, California",United States,Married,5.0,"Master of Business Administration, Stanford Graduate School of Business; Bachelor of Arts/Science, Stanford University",True,POINT (-122.2538557 37.4299388)
212,Li Zhenguo & family,10.5,China,solar wafers and modules,213,53.0,"Xi'an, China",China,Married,,,True,POINT (108.9352154 34.3430507)
213,Sunil Mittal & family,10.5,India,telecom,213,63.0,"Delhi, India",India,Married,3.0,"Bachelor of Arts/Science, Punjab University",True,POINT (77.2219388 28.6517178)
214,Melker Schorling & family,10.5,Sweden,investments,213,73.0,"Stockholm, Sweden",Sweden,Married,2.0,"Master of Business Administration, Gothenburg University",True,POINT (18.0710935 59.3251172)
215,Cai Kui,10.4,China,real estate,216,58.0,"Chengdu, China",China,Divorced,1.0,"Bachelor of Arts/Science, Nanjing University of Aeronautics & Astronautics",True,POINT (104.0633717 30.6598628)
216,John Fredriksen,10.4,Cyprus,shipping,216,76.0,"London, United Kingdom",Cyprus,Widowed,2.0,,True,POINT (-0.1276474 51.5073219)
217,Qi Shi & family,10.4,China,financial information,216,51.0,"Shanghai, China",China,,,"EMBA, Fudan University; Bachelor of Arts/Science, Shanghai Jiaotong University",True,POINT (121.4692071 31.2322758)
218,"Chase Coleman, III.",10.3,United States,investments,219,45.0,"New York, New York",United States,Married,,"Bachelor of Arts/Science, Williams College",True,POINT (-74.00601519999999 40.7127281)
219,Hui Wing Mau,10.3,Hong Kong,real estate,219,70.0,"Hong Kong, Hong Kong",Hong Kong,Married,2.0,"Master of Business Administration, University of South Australia",True,POINT (114.1628131 22.2793278)
220,"Edward Johnson, III.",10.3,United States,money management,219,90.0,"Boston, Massachusetts",United States,Married,3.0,"Bachelor of Arts/Science, Harvard University",False,POINT (-71.0582912 42.3602534)
221,Liu Hanyuan,10.3,China,agribusiness,219,57.0,"Chengdu, China",China,Married,,"Bachelor of Arts/Science, Sichuan University",True,POINT (104.0633717 30.6598628)
222,Larry Xiangdong Chen,10.2,China,education,223,49.0,"Beijing, China",China,,,"Ph.D, Renmin University of China",True,POINT (116.3912757 39.906217)
223,Philip Anschutz,10.1,United States,investments,224,81.0,"Denver, Colorado",United States,Married,3.0,"Bachelor of Arts/Science, University of Kansas",False,POINT (-104.9848623 39.7392364)
224,Dietmar Hopp & family,10.1,Germany,software,224,81.0,"Walldorf, Germany",Germany,Married,2.0,"Master of Science, University of Karlsruhe",True,POINT (8.6433518 49.3038134)
225,German Khan,10.1,Russia,"oil, banking, telecom",224,59.0,"London, United Kingdom",Russia,Married,4.0,"Bachelor of Arts/Science, Moscow Institute of Steel and Alloys",True,POINT (-0.1276474 51.5073219)
226,Li Ge,10.1,United States,pharmaceutical ingredients,224,54.0,"Shanghai, China",United States,Married,,"Ph.D, Columbia University",True,POINT (121.4692071 31.2322758)
227,Jay Chaudhry,10.0,United States,security software,228,61.0,"Reno, Nevada",United States,Married,3.0,,True,POINT (-119.8126581 39.5261206)
228,Eric Wittouck,10.0,Belgium,investments,228,74.0,Monaco,Belgium,,,,False,POINT (7.4276832 43.7323492)
229,Carl Cook,9.9,United States,medical devices,230,58.0,"Bloomington, Indiana",United States,Married,,"Bachelor of Arts/Science, Purdue University; Master of Business Administration, Tippie School of Management",False,POINT (-86.5342881 39.1670396)
230,Jan Koum,9.9,United States,WhatsApp,230,45.0,"Atherton, California",United States,Single,,"Drop Out, San Jose State University",True,POINT (-122.2058272 37.453773)
231,"Herbert Kohler, Jr. & family",9.8,United States,plumbing fixtures,232,82.0,"Kohler, Wisconsin",United States,Married,3.0,"Bachelor of Arts/Science, Yale University",False,POINT (-87.7817541 43.7391616)
232,Tobi Lutke,9.8,Canada,e-commerce,232,40.0,"Ottawa, Canada",Canada,Married,3.0,,True,POINT (-75.690308 45.421106)
233,James Dyson,9.7,United Kingdom,vacuums,234,74.0,"Gloucestershire, United Kingdom",United Kingdom,Married,3.0,,True,POINT (-2.1666674 51.8333313)
234,Mat Ishbia,9.7,United States,★,234,41.0,"Bloomfield Hills, Michigan",United States,Divorced,3.0,"Bachelor of Business Administration, Michigan State University",False,POINT (-83.24548830000001 42.583645)
235,Savitri Jindal & family,9.7,India,steel,234,71.0,"Hisar, India",India,Widowed,9.0,,False,POINT (75.7461103 29.168807)
236,Friedhelm Loh,9.7,Germany,manufacturing,234,74.0,"Haiger, Germany",Germany,Married,3.0,,False,POINT (8.2039451 50.7420214)
237,Iskander Makhmudov,9.7,Russia,"mining, metals, machinery",234,57.0,"Moscow, Russia",Russia,Married,1.0,"Bachelor of Arts/Science, Tashkent State University",True,POINT (37.6174943 55.7504461)
238,Stefano Pessina,9.7,Italy,drugstores,234,79.0,"Monte Carlo, Monaco",Italy,Divorced,2.0,"Bachelor of Engineering, Politecnico di Milano",False,POINT (7.426559 43.7402961)
239,Quek Leng Chan,9.7,Malaysia,"banking, property",234,79.0,"Kuala Lumpur, Malaysia",Malaysia,Married,3.0,"LLB, Middle Temple",False,POINT (101.6942371 3.1516964)
240,Israel Englander,9.6,United States,hedge funds,241,72.0,"New York, New York",United States,Married,3.0,"Bachelor of Arts/Science, New York University",True,POINT (-74.00601519999999 40.7127281)
241,Charles Ergen,9.6,United States,satellite TV,241,68.0,"Denver, Colorado",United States,Married,5.0,"Bachelor of Arts/Science, University of Tennessee Knoxville; Master of Business Administration, Wake Forest University School of Business",True,POINT (-104.9848623 39.7392364)
242,Jim Pattison,9.6,Canada,diversified,241,92.0,"Vancouver, Canada",Canada,Married,3.0,,True,POINT (-123.1139529 49.2608724)
243,Yao Liangsong,9.6,China,furniture,241,56.0,"Guangzhou, China",China,,,,True,POINT (113.2592945 23.1301964)
244,David Geffen,9.5,United States,"movies, record labels",245,78.0,"Beverly Hills, California",United States,Single,,"Drop Out, The University of Texas at Austin",True,POINT (-118.3963062 34.0696501)
245,Yeung Kin-man,9.5,Hong Kong,electronics,245,57.0,"Hong Kong, Hong Kong",Hong Kong,Married,,,True,POINT (114.1628131 22.2793278)
246,Ding Shizhong & family,9.4,China,sports apparel,247,50.0,"Quanzhou, China",China,Married,2.0,"EMBA, Xiamen University",True,POINT (118.6723605 24.8755492)
247,Harold Hamm & family,9.4,United States,oil & gas,247,75.0,"Oklahoma City, Oklahoma",United States,Divorced,5.0,"Diploma, High School",True,POINT (-97.5170536 35.4729886)
